description,merchant,category
McDonald's Restaurant,McDonald's,Food & Dining
Coffee at Starbucks,Starbucks,Food & Dining
Dinner at Italian restaurant,Olive Garden,Food & Dining
Grocery shopping,Whole Foods,Food & Dining
Pizza delivery,Domino's Pizza,Food & Dining
Lunch at work cafeteria,Company Cafeteria,Food & Dining
Breakfast sandwich,Subway,Food & Dining
Chinese takeout,Panda Express,Food & Dining
Burger and fries,Five Guys,Food & Dining
Sushi dinner,Sushi Palace,Food & Dining
Gas station fill up,Shell,Transportation
Uber ride downtown,Uber,Transportation
Taxi to airport,Yellow Cab,Transportation
Bus ticket,Metro Transit,Transportation
Parking meter,City Parking,Transportation
Car repair service,AutoZone,Transportation
Oil change,Jiffy Lube,Transportation
Train ticket,Amtrak,Transportation
Lyft to meeting,Lyft,Transportation
Rental car for weekend,Enterprise,Transportation
Online shopping,Amazon,Shopping
Clothes shopping,Target,Shopping
Electronics purchase,Best Buy,Shopping
Home supplies,Home Depot,Shopping
New shoes,Nike Store,Shopping
Books and magazines,Barnes & Noble,Shopping
Sporting goods,Dick's Sporting Goods,Shopping
Furniture shopping,IKEA,Shopping
Jewelry purchase,Kay Jewelers,Shopping
Tools and hardware,Lowe's,Shopping
Movie tickets,AMC Theaters,Entertainment
Netflix subscription,Netflix,Entertainment
Concert tickets,Ticketmaster,Entertainment
Video games,GameStop,Entertainment
Spotify premium,Spotify,Entertainment
Bowling night,Strike Zone,Entertainment
Mini golf,Adventure Golf,Entertainment
Theme park visit,Disneyland,Entertainment
Comedy show,Laugh Factory,Entertainment
Sports event tickets,StubHub,Entertainment
Electric bill payment,PG&E,Bills & Utilities
Internet service,Comcast,Bills & Utilities
Phone bill,Verizon,Bills & Utilities
Water utility,Water Department,Bills & Utilities
Insurance payment,State Farm,Bills & Utilities
Credit card payment,Chase Bank,Bills & Utilities
Mortgage payment,Wells Fargo,Bills & Utilities
Cable TV service,DirectTV,Bills & Utilities
Trash collection,Waste Management,Bills & Utilities
HOA fees,Property Management,Bills & Utilities
Doctor visit copay,Kaiser Permanente,Healthcare
Prescription medication,CVS Pharmacy,Healthcare
Dental cleaning,Dental Associates,Healthcare
Eye exam,LensCrafters,Healthcare
Physical therapy,Sports Medicine,Healthcare
Urgent care visit,Urgent Care Center,Healthcare
Blood test,LabCorp,Healthcare
Vitamins and supplements,Walgreens,Healthcare
